QH61Q1R,clinician,login,2025-05-12 15:02:42,success
W3PHXNA,nurse,login,2025-05-12 15:57:13,success
W3PHXNA,nurse,retrieve_patient,2025-05-12 15:58:20,success
W3PHXNA,nurse,count_visits,2025-05-12 15:58:30,success
W3PHXNA,nurse,view_note,2025-05-12 15:58:39,success
W3PHXNA,nurse,view_note,2025-05-12 16:01:24,success
W3PHXNA,nurse,count_visits,2025-05-12 16:02:06,success
W3PHXNA,nurse,view_note,2025-05-12 16:02:11,success
W3PHXNA,nurse,login,2025-05-12 16:08:32,success
W3PHXNA,nurse,login,2025-05-12 16:10:49,success
W3PHXNA,nurse,view_note,2025-05-12 16:12:09,success
W3PHXNA,nurse,view_note,2025-05-12 16:13:58,success
W3PHXNA,nurse,login,2025-05-12 16:14:38,success
W3PHXNA,nurse,view_note,2025-05-12 16:15:16,success
W3PHXNA,nurse,view_note,2025-05-12 16:17:03,success
W3PHXNA,nurse,login,2025-05-12 16:21:45,success
W3PHXNA,nurse,login,2025-05-12 16:23:21,success
W3PHXNA,nurse,view_note,2025-05-12 16:24:01,success
W3PHXNA,nurse,view_note,2025-05-12 16:24:15,success
W3PHXNA,nurse,view_note,2025-05-12 16:24:53,success
W3PHXNA,nurse,view_note,2025-05-12 16:26:08,success
W3PHXNA,nurse,view_note,2025-05-12 16:26:33,success
W3PHXNA,nurse,login,2025-05-12 16:26:56,success
W3PHXNA,nurse,view_note,2025-05-12 16:27:03,success
W3PHXNA,nurse,login,2025-05-12 16:28:36,success
W3PHXNA,nurse,view_note,2025-05-12 16:29:20,success
W3PHXNA,nurse,view_note,2025-05-12 16:29:51,success
W3PHXNA,nurse,login,2025-05-12 16:34:48,success
W3PHXNA,nurse,view_note,2025-05-12 16:36:22,success
